,Name,Size,Extension,sizenum
3055,03823_0055_0067.jp2,3709135 Bytes,.jp2,3709135
4711,03823_0057_0035.jp2,3715901 Bytes,.jp2,3715901
3050,03823_0055_0062.jp2,3717622 Bytes,.jp2,3717622
4701,03823_0057_0025.jp2,3728550 Bytes,.jp2,3728550
1583,03823_0070_0041.jp2,3730995 Bytes,.jp2,3730995
3199,03823_0028_0058.jp2,3731672 Bytes,.jp2,3731672
1559,03823_0070_0017.jp2,3742354 Bytes,.jp2,3742354
3053,03823_0055_0065.jp2,3760469 Bytes,.jp2,3760469
5119,03823_0012_0043.jp2,3784226 Bytes,.jp2,3784226
1580,03823_0070_0038.jp2,3823165 Bytes,.jp2,3823165
3021,03823_0055_0033.jp2,3837155 Bytes,.jp2,3837155
4698,03823_0057_0022.jp2,3842218 Bytes,.jp2,3842218
3495,03823_0041_0064.jp2,3846158 Bytes,.jp2,3846158
4708,03823_0057_0032.jp2,3854101 Bytes,.jp2,3854101
4003,03823_0058_0004.jp2,3857510 Bytes,.jp2,3857510
658,03823_0071_0064.jp2,3865287 Bytes,.jp2,3865287
4204,03823_0051_0030.jp2,3879648 Bytes,.jp2,3879648
3645,03823_0073_0011.jp2,3885344 Bytes,.jp2,3885344
5822,03823_0014_0001.jp2,3891637 Bytes,.jp2,3891637
3049,03823_0055_0061.jp2,3893511 Bytes,.jp2,3893511
3047,03823_0055_0059.jp2,3927429 Bytes,.jp2,3927429
4507,03823_0036_0049.jp2,3955695 Bytes,.jp2,3955695
2236,03823_0063_0085.jp2,3957125 Bytes,.jp2,3957125
5823,03823_0014_0002.jp2,3984084 Bytes,.jp2,3984084
595,03823_0071_0001.jp2,3990627 Bytes,.jp2,3990627
681,03823_0071_0087.jp2,3994478 Bytes,.jp2,3994478
1826,03823_0022_0071.jp2,3994971 Bytes,.jp2,3994971
176,03823_0072_0174.jp2,4008592 Bytes,.jp2,4008592
3104,03823_0039_0039.jp2,4015101 Bytes,.jp2,4015101
4205,03823_0051_0031.jp2,4015147 Bytes,.jp2,4015147
4707,03823_0057_0031.jp2,4025135 Bytes,.jp2,4025135
5787,03823_0087_0001.jp2,4031065 Bytes,.jp2,4031065
3201,03823_0028_0060.jp2,4031684 Bytes,.jp2,4031684
3576,03823_0049_0007.jp2,4041758 Bytes,.jp2,4041758
4721,03823_0057_0045.jp2,4053176 Bytes,.jp2,4053176
5664,03823_0038_0028.jp2,4063019 Bytes,.jp2,4063019
1632,03823_0070_0090.jp2,4065847 Bytes,.jp2,4065847
646,03823_0071_0052.jp2,4067858 Bytes,.jp2,4067858
700,03823_0071_0106.jp2,4070710 Bytes,.jp2,4070710
746,03823_0071_0152.jp2,4100711 Bytes,.jp2,4100711
5114,03823_0012_0038.jp2,4103599 Bytes,.jp2,4103599
2432,03823_0050_0008.jp2,4107115 Bytes,.jp2,4107115
174,03823_0072_0172.jp2,4111141 Bytes,.jp2,4111141
2112,03823_0031_0057.jp2,4111352 Bytes,.jp2,4111352
2653,03823_0035_0063.jp2,4111667 Bytes,.jp2,4111667
5666,03823_0038_0030.jp2,4122908 Bytes,.jp2,4122908
