Collection in Repository,Collection Number,Location in Collection,Object,Container Type,MastersName,Usage Rights,Date created,Date modified,Object number,AccessName,AccessFilePath,AccessFileSize,AccessSizeNum,MasterFilePath,MasterFileSize,MasterSizeNum
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 2. Financial and Legal Materials, 1928-1949.","Folder 43: Financial and legal materials, 1948: Scan 35",folder,03823_0043_0035.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,2127,2318.jp2,Content/03823/image/2318.jp2,4620295 Bytes,4620295,bucket\03823_nccic\03823_0043\03823_0043_0035.tif,13258746 Bytes,13258746
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 2. Financial and Legal Materials, 1928-1949.","Folder 45: Financial and legal materials, 1949: Scan 32",folder,03823_0045_0032.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,2128,2312.jp2,Content/03823/image/2312.jp2,3860708 Bytes,3860708,bucket\03823_nccic\03823_0045\03823_0045_0032.tif,12143914 Bytes,12143914
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 2. Financial and Legal Materials, 1928-1949.","Folder 42: Financial and legal materials, 1948: Scan 26",folder,03823_0042_0026.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,2129,2133.jp2,Content/03823/image/2133.jp2,4495704 Bytes,4495704,bucket\03823_nccic\03823_0042\03823_0042_0026.tif,13103764 Bytes,13103764
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 2. Financial and Legal Materials, 1928-1949.","Folder 40: Financial and legal materials, 1948: Scan 39",folder,03823_0040_0039.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,2130,2478.jp2,Content/03823/image/2478.jp2,4578270 Bytes,4578270,bucket\03823_nccic\03823_0040\03823_0040_0039.tif,18471678 Bytes,18471678
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 3. Other Materials, 1922-1949.","Folder 48: Conference material, 1933-1949 and undated: Scan 85",folder,03823_0048_0085.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,2131,2110.jp2,Content/03823/image/2110.jp2,5510343 Bytes,5510343,bucket\03823_nccic\03823_0048\03823_0048_0085.tif,19598119 Bytes,19598119
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 2. Financial and Legal Materials, 1928-1949.","Folder 43: Financial and legal materials, 1948: Scan 23",folder,03823_0043_0023.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,2132,2131.jp2,Content/03823/image/2131.jp2,4893214 Bytes,4893214,bucket\03823_nccic\03823_0043\03823_0043_0023.tif,13634647 Bytes,13634647
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 2. Financial and Legal Materials, 1928-1949.","Folder 45: Financial and legal materials, 1949: Scan 61",folder,03823_0045_0061.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,2133,2107.jp2,Content/03823/image/2107.jp2,4505308 Bytes,4505308,bucket\03823_nccic\03823_0045\03823_0045_0061.tif,13114768 Bytes,13114768
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 2. Financial and Legal Materials, 1928-1949.","Folder 41: Financial and legal materials, 1948: Scan 62",folder,03823_0041_0062.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,2134,2539.jp2,Content/03823/image/2539.jp2,5623408 Bytes,5623408,bucket\03823_nccic\03823_0041\03823_0041_0062.tif,14470617 Bytes,14470617
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 2. Financial and Legal Materials, 1928-1949.","Folder 42: Financial and legal materials, 1948: Scan 11",folder,03823_0042_0011.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,2135,2375.jp2,Content/03823/image/2375.jp2,1715887 Bytes,1715887,bucket\03823_nccic\03823_0042\03823_0042_0011.tif,5010126 Bytes,5010126
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 3. Other Materials, 1922-1949.","Folder 49: Conference material, 1933-1949 and undated: Scan 57",folder,03823_0049_0057.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,2136,2286.jp2,Content/03823/image/2286.jp2,7083729 Bytes,7083729,bucket\03823_nccic\03823_0049\03823_0049_0057.tif,22089328 Bytes,22089328
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 2. Financial and Legal Materials, 1928-1949.","Folder 45: Financial and legal materials, 1949: Scan 87",folder,03823_0045_0087.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,2137,2524.jp2,Content/03823/image/2524.jp2,5479921 Bytes,5479921,bucket\03823_nccic\03823_0045\03823_0045_0087.tif,14326762 Bytes,14326762
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 2. Financial and Legal Materials, 1928-1949.","Folder 47: Financial and legal materials, 1949: Scan 13",folder,03823_0047_0013.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,2138,2515.jp2,Content/03823/image/2515.jp2,7423055 Bytes,7423055,bucket\03823_nccic\03823_0047\03823_0047_0013.tif,16244028 Bytes,16244028
