Collection in Repository,Collection Number,Location in Collection,Object,Container Type,filename,Usage Rights,Date created,Date modified,Object number,AccessName,AccessFilePath,AccessFileSize,AccessSizeNum
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.","Folder 17: Correspondence, 1947-1948: Scan 15",folder,03823_0017_0015.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,200,196.jp2,Content/03823/image/196.jp2,5038708 Bytes,5038708
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.","Folder 18: Correspondence, 1947-1948: Scan 13",folder,03823_0018_0013.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,201,211.jp2,Content/03823/image/211.jp2,859235 Bytes,859235
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.","Folder 18: Correspondence, 1947-1948: Scan 25",folder,03823_0018_0025.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,202,580.jp2,Content/03823/image/580.jp2,1055345 Bytes,1055345
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.","Folder 20: Correspondence, 1947-1948: Scan 3",folder,03823_0020_0003.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,203,331.jp2,Content/03823/image/331.jp2,7114080 Bytes,7114080
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.2. Correspondence, 1942-1946.","Folder 10: Correspondence, 1944-May 1946: Scan 10",folder,03823_0010_0010.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,204,144.jp2,Content/03823/image/144.jp2,4082811 Bytes,4082811
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.","Folder 20: Correspondence, 1947-1948: Scan 7",folder,03823_0020_0007.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,205,511.jp2,Content/03823/image/511.jp2,4413674 Bytes,4413674
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.","Folder 17: Correspondence, 1947-1948: Scan 41",folder,03823_0017_0041.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,206,766.jp2,Content/03823/image/766.jp2,4508915 Bytes,4508915
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.2. Correspondence, 1942-1946.","Folder 7: Correspondence, 1942: Scan 16",folder,03823_0007_0016.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,207,921.jp2,Content/03823/image/921.jp2,5542501 Bytes,5542501
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.2. Correspondence, 1942-1946.","Folder 10: Correspondence, 1944-May 1946: Scan 43",folder,03823_0010_0043.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,208,11.jp2,Content/03823/image/11.jp2,5843806 Bytes,5843806
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.","Folder 16: Correspondence, 1947-1948: Scan 45",folder,03823_0016_0045.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,209,696.jp2,Content/03823/image/696.jp2,8087355 Bytes,8087355
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.2. Correspondence, 1942-1946.","Folder 9: Correspondence, 1943: Scan 12",folder,03823_0009_0012.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,210,688.jp2,Content/03823/image/688.jp2,4475577 Bytes,4475577
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.","Folder 14: Correspondence, August-December 1946: Scan 24",folder,03823_0014_0024.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,211,354.jp2,Content/03823/image/354.jp2,7674924 Bytes,7674924
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.","Folder 21: Correspondence, 1947-1948: Scan 16",folder,03823_0021_0016.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,212,775.jp2,Content/03823/image/775.jp2,6747840 Bytes,6747840
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.1. Correspondence, 1922-1941.","Folder 1: Correspondence, 1922-1929: Scan 1",folder,03823_0001_0001.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,213,990.jp2,Content/03823/image/990.jp2,5803526 Bytes,5803526
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.1. Correspondence, 1922-1941.","Folder 1: Correspondence, 1922-1929: Scan 28",folder,03823_0001_0028.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,214,637.jp2,Content/03823/image/637.jp2,4341561 Bytes,4341561
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.1. Correspondence, 1922-1941.","Folder 4: Correspondence, 1940: Scan 16",folder,03823_0004_0016.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,215,568.jp2,Content/03823/image/568.jp2,5291831 Bytes,5291831
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.2. Correspondence, 1942-1946.","Folder 8: Correspondence, 1942: Scan 20",folder,03823_0008_0020.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,216,583.jp2,Content/03823/image/583.jp2,5788595 Bytes,5788595
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.","Folder 22: Correspondence, 1947-1948: Scan 1",folder,03823_0022_0001.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,217,170.jp2,Content/03823/image/170.jp2,8951475 Bytes,8951475
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.1. Correspondence, 1922-1941.","Folder 2: Correspondence, 1931-1937: Scan 15",folder,03823_0002_0015.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,218,852.jp2,Content/03823/image/852.jp2,4425400 Bytes,4425400
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.1. Correspondence, 1922-1941.","Folder 4: Correspondence, 1940: Scan 21",folder,03823_0004_0021.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,219,307.jp2,Content/03823/image/307.jp2,4957160 Bytes,4957160
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.1. Correspondence, 1922-1941.","Folder 4: Correspondence, 1940: Scan 32",folder,03823_0004_0032.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,220,579.jp2,Content/03823/image/579.jp2,5201368 Bytes,5201368
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.","Folder 19: Correspondence, 1947-1948: Scan 18",folder,03823_0019_0018.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,221,493.jp2,Content/03823/image/493.jp2,8146746 Bytes,8146746
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.2. Correspondence, 1942-1946.","Folder 10: Correspondence, 1944-May 1946: Scan 47",folder,03823_0010_0047.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,222,883.jp2,Content/03823/image/883.jp2,5924760 Bytes,5924760
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.1. Correspondence, 1922-1941.","Folder 2: Correspondence, 1931-1937: Scan 8",folder,03823_0002_0008.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,223,700.jp2,Content/03823/image/700.jp2,6042665 Bytes,6042665
