Name,Full Path,Size,Files,Dir Level (Relative),Extension
03823_0072_0100.tif,bucket\03823_nccic\03823_0072\03823_0072_0100.tif,10913510 Bytes,1,2,.tif
03823_0072_0101.tif,bucket\03823_nccic\03823_0072\03823_0072_0101.tif,11219626 Bytes,1,2,.tif
03823_0072_0102.tif,bucket\03823_nccic\03823_0072\03823_0072_0102.tif,11056460 Bytes,1,2,.tif
03823_0072_0103.tif,bucket\03823_nccic\03823_0072\03823_0072_0103.tif,11496428 Bytes,1,2,.tif
03823_0072_0104.tif,bucket\03823_nccic\03823_0072\03823_0072_0104.tif,10953811 Bytes,1,2,.tif
03823_0072_0105.tif,bucket\03823_nccic\03823_0072\03823_0072_0105.tif,11541357 Bytes,1,2,.tif
03823_0072_0106.tif,bucket\03823_nccic\03823_0072\03823_0072_0106.tif,11009120 Bytes,1,2,.tif
03823_0072_0107.tif,bucket\03823_nccic\03823_0072\03823_0072_0107.tif,11259705 Bytes,1,2,.tif
03823_0072_0108.tif,bucket\03823_nccic\03823_0072\03823_0072_0108.tif,11164388 Bytes,1,2,.tif
03823_0072_0109.tif,bucket\03823_nccic\03823_0072\03823_0072_0109.tif,13887400 Bytes,1,2,.tif
03823_0072_0110.tif,bucket\03823_nccic\03823_0072\03823_0072_0110.tif,11164398 Bytes,1,2,.tif
03823_0072_0111.tif,bucket\03823_nccic\03823_0072\03823_0072_0111.tif,11292097 Bytes,1,2,.tif
03823_0072_0112.tif,bucket\03823_nccic\03823_0072\03823_0072_0112.tif,10978069 Bytes,1,2,.tif
03823_0072_0113.tif,bucket\03823_nccic\03823_0072\03823_0072_0113.tif,10648602 Bytes,1,2,.tif
03823_0072_0114.tif,bucket\03823_nccic\03823_0072\03823_0072_0114.tif,12210491 Bytes,1,2,.tif
03823_0072_0115.tif,bucket\03823_nccic\03823_0072\03823_0072_0115.tif,12207974 Bytes,1,2,.tif
03823_0072_0116.tif,bucket\03823_nccic\03823_0072\03823_0072_0116.tif,11150276 Bytes,1,2,.tif
03823_0072_0117.tif,bucket\03823_nccic\03823_0072\03823_0072_0117.tif,9561433 Bytes,1,2,.tif
03823_0072_0118.tif,bucket\03823_nccic\03823_0072\03823_0072_0118.tif,8734045 Bytes,1,2,.tif
03823_0072_0119.tif,bucket\03823_nccic\03823_0072\03823_0072_0119.tif,10457880 Bytes,1,2,.tif
03823_0072_0120.tif,bucket\03823_nccic\03823_0072\03823_0072_0120.tif,10393096 Bytes,1,2,.tif
03823_0072_0121.tif,bucket\03823_nccic\03823_0072\03823_0072_0121.tif,10432279 Bytes,1,2,.tif
03823_0072_0122.tif,bucket\03823_nccic\03823_0072\03823_0072_0122.tif,10371211 Bytes,1,2,.tif
03823_0072_0123.tif,bucket\03823_nccic\03823_0072\03823_0072_0123.tif,10396278 Bytes,1,2,.tif
03823_0072_0124.tif,bucket\03823_nccic\03823_0072\03823_0072_0124.tif,10589491 Bytes,1,2,.tif
03823_0072_0125.tif,bucket\03823_nccic\03823_0072\03823_0072_0125.tif,10773780 Bytes,1,2,.tif
03823_0072_0126.tif,bucket\03823_nccic\03823_0072\03823_0072_0126.tif,10322429 Bytes,1,2,.tif
03823_0072_0127.tif,bucket\03823_nccic\03823_0072\03823_0072_0127.tif,10541741 Bytes,1,2,.tif
03823_0072_0128.tif,bucket\03823_nccic\03823_0072\03823_0072_0128.tif,10740000 Bytes,1,2,.tif
03823_0072_0129.tif,bucket\03823_nccic\03823_0072\03823_0072_0129.tif,10739831 Bytes,1,2,.tif
03823_0072_0130.tif,bucket\03823_nccic\03823_0072\03823_0072_0130.tif,10543482 Bytes,1,2,.tif
03823_0072_0131.tif,bucket\03823_nccic\03823_0072\03823_0072_0131.tif,12723612 Bytes,1,2,.tif
03823_0072_0132.tif,bucket\03823_nccic\03823_0072\03823_0072_0132.tif,10875110 Bytes,1,2,.tif
03823_0072_0133.tif,bucket\03823_nccic\03823_0072\03823_0072_0133.tif,12934383 Bytes,1,2,.tif
03823_0072_0134.tif,bucket\03823_nccic\03823_0072\03823_0072_0134.tif,10485629 Bytes,1,2,.tif
03823_0072_0135.tif,bucket\03823_nccic\03823_0072\03823_0072_0135.tif,10505245 Bytes,1,2,.tif
03823_0072_0136.tif,bucket\03823_nccic\03823_0072\03823_0072_0136.tif,10688544 Bytes,1,2,.tif
03823_0072_0137.tif,bucket\03823_nccic\03823_0072\03823_0072_0137.tif,10834462 Bytes,1,2,.tif
03823_0072_0138.tif,bucket\03823_nccic\03823_0072\03823_0072_0138.tif,10801034 Bytes,1,2,.tif
03823_0072_0139.tif,bucket\03823_nccic\03823_0072\03823_0072_0139.tif,10558169 Bytes,1,2,.tif
03823_0072_0140.tif,bucket\03823_nccic\03823_0072\03823_0072_0140.tif,10969618 Bytes,1,2,.tif
03823_0072_0141.tif,bucket\03823_nccic\03823_0072\03823_0072_0141.tif,10860172 Bytes,1,2,.tif
03823_0072_0142.tif,bucket\03823_nccic\03823_0072\03823_0072_0142.tif,10747389 Bytes,1,2,.tif
03823_0072_0143.tif,bucket\03823_nccic\03823_0072\03823_0072_0143.tif,10041967 Bytes,1,2,.tif
03823_0072_0144.tif,bucket\03823_nccic\03823_0072\03823_0072_0144.tif,9041091 Bytes,1,2,.tif
03823_0072_0145.tif,bucket\03823_nccic\03823_0072\03823_0072_0145.tif,6888486 Bytes,1,2,.tif
